SIMAN Run Controller.

0.0 Seconds>
                                      ARENA Simulation Results
                                                user

                                  Summary for Replication 1 of 10

Project: Assembly line                                               Run execution date : 9/20/2025
Analyst: FATIHA                                                      Model revision date: 9/20/2025

Replication ended at time      : 600.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Process 13.WaitTimePerEntity                .00000     (Insuf)    .00000     .00000          9    
Process 10.TotalCostPerEntity               3.2940     (Insuf)    2.9967     4.0264         11    
Process 14.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000          9    
Process 12.VACostPerEntity                  .23374     (Insuf)    .17074     .32103         10    
Process 10.WaitTimePerEntity                63.703     (Insuf)    .00000     117.46         11    
Process 13.VATimePerEntity                  14.142     (Insuf)    12.076     15.685          9    
Process 9.TotalCostPerEntity                .36046     (Insuf)    .27427     .47863         17    
Process 8.TotalCostPerEntity                .25413     (Insuf)    .10709     .46336         17    
Process 7.TotalCostPerEntity                .34987     (Insuf)    .27170     .72319         18    
Process 6.TotalCostPerEntity                1.5816     (Insuf)    1.3396     1.8216         18    
Process 5.TotalCostPerEntity                .33737     (Insuf)    .27245     .52557         31    
Process 4.TotalCostPerEntity                .33422     (Insuf)    .29877     .40850         31    
Process 3.TotalCostPerEntity                .18254     (Insuf)    .14970     .24743         32    
Process 2.TotalCostPerEntity                .49088     (Insuf)    .38112     .64086         32    
Process 1.TotalCostPerEntity                .24685     (Insuf)    .18203     .33896         46    
Process 9.VACostPerEntity                   .36046     (Insuf)    .27427     .47863         17    
Process 8.VACostPerEntity                   .25413     (Insuf)    .10709     .46336         17    
Process 7.VACostPerEntity                   .34987     (Insuf)    .27170     .72319         18    
Process 6.VACostPerEntity                   1.5816     (Insuf)    1.3396     1.8216         18    
Process 5.VACostPerEntity                   .33737     (Insuf)    .27245     .52557         31    
Process 4.VACostPerEntity                   .33422     (Insuf)    .29877     .40850         31    
Process 3.VACostPerEntity                   .18254     (Insuf)    .14970     .24743         32    
Process 2.VACostPerEntity                   .49088     (Insuf)    .38112     .64086         32    
Process 1.VACostPerEntity                   .24685     (Insuf)    .18203     .33896         46    
Process 13.VACostPerEntity                  .39285     (Insuf)    .33546     .43571          9    
Process 11.TotalCostPerEntity               1.6168     (Insuf)    1.4296     2.2556         10    
Process 15.VATimePerEntity                  35.130     (Insuf)    31.859     37.376          8    
Process 15.WaitTimePerEntity                .64511     (Insuf)    .00000     2.5892          8    
Process 14.TotalTimePerEntity               28.830     (Insuf)    26.363     31.145          9    
Process 11.VATimePerEntity                  29.102     (Insuf)    25.734     40.601         10    
Process 13.TotalTimePerEntity               14.142     (Insuf)    12.076     15.685          9    
Process 13.TotalCostPerEntity               .39285     (Insuf)    .33546     .43571          9    
Process 14.VACostPerEntity                  1.6016     (Insuf)    1.4646     1.7302          9    
Process 11.VACostPerEntity                  1.6168     (Insuf)    1.4296     2.2556         10    
Process 11.TotalTimePerEntity               29.102     (Insuf)    25.734     40.601         10    
Process 15.WaitCostPerEntity                .00000     (Insuf)    .00000     .00000          8    
Process 9.WaitCostPerEntity                 .00000     (Insuf)    .00000     .00000         17    
